gender,city_category,occupation,stay_years,marital_status,purchase_amount,quantity,product_category,payment_method,age_group
F,B,3,2,0,208.06,4,Alimentos,PIX,18-25
F,A,1,0,1,509.94,1,Beleza,PIX,36-45
F,C,14,3,0,246.28,2,Beleza,Boleto,55+
M,B,7,2,0,466.37,2,Eletronicos,Cartao_Credito,18-25
M,B,1,0,0,224.25,5,Eletronicos,Cartao_Debito,18-25
M,B,4,1,0,141.67,3,Esportes,Boleto,18-25
M,B,20,0,1,948.26,2,Esportes,Cartao_Credito,55+
F,C,5,0,1,512.3,4,Roupas,Boleto,26-35
F,B,14,3,1,330.22,3,Casa,Dinheiro,55+
F,B,9,2,0,295.06,1,Beleza,Cartao_Debito,18-25
M,C,3,4,1,971.6,2,Alimentos,Cartao_Credito,36-45
F,C,6,1,0,575.32,1,Beleza,Boleto,26-35
M,C,0,3,1,802.79,4,Esportes,Cartao_Credito,18-25
M,A,15,3,0,284.23,5,Alimentos,PIX,55+
F,A,7,3,1,415.88,5,Alimentos,Cartao_Credito,51-55
F,B,10,4,0,513.54,2,Beleza,PIX,36-45
F,B,3,3,1,290.02,3,Roupas,Dinheiro,51-55
M,B,17,3,1,380.95,1,Alimentos,PIX,55+
F,C,4,3,0,284.24,2,Alimentos,Cartao_Debito,0-17
M,A,11,2,1,512.57,1,Esportes,Cartao_Debito,51-55
F,A,18,3,0,182.58,4,Beleza,PIX,51-55
F,B,14,4,0,568.6,5,Roupas,Cartao_Credito,51-55
M,A,12,3,0,486.11,1,Esportes,PIX,51-55
M,B,18,3,1,357.1,4,Alimentos,PIX,55+
M,C,3,0,1,528.32,3,Eletronicos,Cartao_Credito,18-25
F,B,20,2,0,324.09,3,Casa,Boleto,55+
M,C,11,0,1,269.86,4,Esportes,PIX,55+
F,B,8,0,1,559.05,4,Casa,Cartao_Credito,46-50
F,C,5,1,1,573.76,2,Beleza,Cartao_Credito,26-35
F,A,15,2,0,297.57,4,Alimentos,Cartao_Debito,46-50
M,C,20,2,1,282.64,4,Alimentos,PIX,55+
F,C,14,4,1,361.48,2,Casa,PIX,51-55
M,A,0,3,1,289.69,4,Alimentos,Dinheiro,26-35
F,B,9,2,1,1007.34,4,Beleza,Cartao_Debito,46-50
F,C,15,1,0,487.79,1,Casa,Cartao_Debito,46-50
F,A,8,3,1,406.98,1,Roupas,PIX,36-45
F,C,16,1,0,230.53,2,Casa,Dinheiro,46-50
M,C,14,4,0,628.54,1,Esportes,Cartao_Debito,51-55
M,C,1,3,1,279.51,3,Beleza,Boleto,18-25
M,B,11,3,1,272.69,3,Esportes,PIX,46-50
M,B,3,1,1,641.35,4,Casa,Cartao_Credito,36-45
M,C,10,3,0,508.97,1,Brinquedos,Cartao_Credito,26-35
M,B,8,4,1,89.83,3,Esportes,PIX,36-45
M,A,16,0,1,366.99,4,Alimentos,Cartao_Credito,55+
M,A,18,0,0,434.99,3,Esportes,Cartao_Credito,51-55
M,C,9,2,1,329.06,5,Esportes,PIX,51-55
F,B,11,1,1,444.17,2,Beleza,Boleto,55+
F,A,13,3,0,136.21,3,Casa,Dinheiro,46-50
M,B,13,2,1,73.8,1,Beleza,PIX,55+
M,C,13,4,0,224.69,3,Casa,Dinheiro,51-55
M,B,16,1,1,477.87,1,Casa,PIX,55+
F,C,20,1,1,58.27,5,Alimentos,PIX,55+
M,C,17,0,0,243.2,2,Casa,PIX,51-55
M,C,2,1,0,127.27,5,Eletronicos,PIX,18-25
M,C,10,1,1,348.77,1,Esportes,Cartao_Credito,55+
M,A,9,3,1,1306.02,2,Brinquedos,Cartao_Credito,26-35
M,B,10,1,1,354.14,1,Eletronicos,Cartao_Debito,55+
F,A,11,1,0,378.23,2,Roupas,Cartao_Credito,36-45
F,C,15,1,1,667.5,4,Alimentos,Cartao_Credito,55+
F,A,8,2,0,408.62,3,Casa,PIX,26-35
F,B,5,3,1,354.61,4,Beleza,Cartao_Credito,36-45
F,C,9,4,0,703.44,5,Casa,Cartao_Debito,18-25
M,A,17,0,1,535.46,1,Esportes,Cartao_Credito,55+
F,C,6,4,1,479.71,3,Roupas,Cartao_Debito,46-50
M,A,0,1,1,371.2,3,Brinquedos,PIX,36-45
M,B,20,4,0,327.79,3,Casa,Cartao_Credito,51-55
F,B,4,0,1,699.46,1,Roupas,Cartao_Credito,26-35
M,B,12,3,1,329.68,2,Esportes,Boleto,51-55
M,B,16,4,0,844.51,2,Esportes,Cartao_Credito,46-50
F,C,5,0,1,215.23,4,Roupas,Dinheiro,36-45
F,B,7,3,0,953.62,5,Roupas,Cartao_Debito,36-45
F,B,5,0,1,535.51,2,Beleza,Cartao_Credito,46-50
M,C,3,4,0,225.63,3,Eletronicos,PIX,18-25
M,C,3,3,1,547.51,2,Esportes,Cartao_Debito,26-35
F,A,3,4,1,273.09,1,Roupas,Cartao_Credito,36-45
M,C,9,4,1,411.6,2,Casa,Cartao_Debito,51-55
F,A,11,1,0,301.28,2,Roupas,PIX,46-50
M,B,0,2,0,372.51,1,Brinquedos,Cartao_Credito,0-17
M,B,17,3,0,709.71,4,Roupas,Cartao_Credito,36-45
M,C,14,0,0,550.65,2,Alimentos,PIX,36-45
F,A,1,1,1,205.36,2,Beleza,PIX,46-50
M,A,17,0,1,212.54,2,Casa,PIX,55+
M,C,0,4,1,474.6,5,Brinquedos,Cartao_Credito,36-45
M,A,11,1,1,495.67,4,Casa,PIX,51-55
M,B,9,2,0,269.17,3,Brinquedos,Dinheiro,36-45
M,C,10,2,1,1048.16,5,Casa,Cartao_Debito,46-50
F,B,20,1,0,657.27,1,Alimentos,PIX,55+
M,A,19,3,1,277.18,2,Esportes,Cartao_Debito,51-55
F,B,5,4,1,261.56,3,Beleza,Cartao_Debito,46-50
F,C,12,2,1,351.89,3,Beleza,PIX,51-55
M,B,20,4,0,330.59,4,Casa,Cartao_Debito,51-55
M,A,15,0,1,857.22,4,Eletronicos,Cartao_Debito,51-55
F,A,18,4,0,728.3,3,Roupas,Cartao_Credito,51-55
M,B,9,0,1,412.01,5,Esportes,Cartao_Debito,51-55
M,C,5,0,0,605.92,5,Roupas,Boleto,46-50
F,B,10,0,0,661.02,3,Beleza,Cartao_Credito,36-45
F,A,17,1,0,417.78,5,Beleza,Cartao_Debito,51-55
F,B,19,4,0,513.66,4,Roupas,Cartao_Debito,55+
M,A,14,1,1,576.23,1,Casa,Boleto,51-55
F,A,14,3,1,540.54,1,Alimentos,Cartao_Credito,55+
F,C,10,2,0,252.83,1,Casa,Dinheiro,46-50
M,C,6,0,0,268.64,2,Casa,PIX,26-35
F,A,8,2,1,339.29,2,Roupas,Boleto,26-35
M,B,10,1,1,264.01,1,Esportes,Boleto,46-50
M,A,17,1,0,166.69,4,Esportes,Dinheiro,51-55
M,A,11,2,0,605.21,3,Eletronicos,Cartao_Credito,51-55
M,B,16,3,0,496.63,4,Eletronicos,Cartao_Debito,51-55
M,B,0,2,0,180.62,3,Esportes,Dinheiro,0-17
F,C,15,1,0,349.13,2,Eletronicos,Dinheiro,46-50
F,C,10,3,1,361.2,4,Beleza,Boleto,51-55
F,A,20,3,1,449.96,5,Alimentos,PIX,51-55
F,C,9,1,0,210.79,2,Beleza,PIX,26-35
F,B,10,4,0,179.04,2,Beleza,Cartao_Debito,36-45
M,A,2,4,1,551.06,3,Esportes,Cartao_Credito,26-35
M,C,16,3,0,160.71,5,Esportes,Dinheiro,46-50
M,A,14,1,0,350.87,3,Beleza,Cartao_Credito,46-50
M,B,18,1,0,331.74,5,Casa,Cartao_Credito,51-55
F,C,1,2,0,374.66,1,Beleza,Dinheiro,26-35
M,A,4,0,1,469.48,1,Brinquedos,Cartao_Credito,46-50
M,C,18,1,0,1052.73,3,Alimentos,Cartao_Debito,55+
M,A,0,0,0,154.52,2,Brinquedos,PIX,26-35
M,C,10,0,0,682.63,1,Roupas,Cartao_Debito,36-45
F,A,8,3,1,89.36,2,Casa,Cartao_Credito,46-50
M,A,19,0,1,930.97,2,Eletronicos,Cartao_Debito,55+
M,B,17,2,1,118.42,5,Casa,Dinheiro,46-50
M,C,18,2,0,1740.34,4,Alimentos,PIX,55+
M,A,6,0,1,319.3,2,Esportes,Boleto,26-35
F,C,12,4,1,875.01,5,Alimentos,Cartao_Credito,51-55
M,A,14,4,1,773.17,5,Esportes,Cartao_Credito,55+
M,B,20,3,1,310.48,2,Esportes,Cartao_Debito,55+
M,B,0,3,0,325.11,3,Eletronicos,PIX,18-25
F,A,20,1,1,244.13,5,Alimentos,Cartao_Credito,55+
F,C,7,4,1,647.05,3,Roupas,Boleto,36-45
F,B,2,3,1,312.91,2,Beleza,PIX,36-45
F,B,12,2,1,246.81,5,Alimentos,Dinheiro,55+
F,B,16,3,1,556.89,4,Roupas,Cartao_Credito,55+
M,B,2,4,0,235.5,3,Eletronicos,Dinheiro,18-25
M,B,0,3,1,331.16,5,Esportes,Cartao_Debito,18-25
M,C,18,0,1,430.21,4,Eletronicos,PIX,51-55
M,B,19,1,0,274.39,2,Casa,Dinheiro,55+
F,B,3,0,0,300.39,3,Beleza,Cartao_Debito,18-25
M,B,18,1,0,1013.32,1,Eletronicos,PIX,55+
F,B,19,4,1,356.9,1,Alimentos,PIX,55+
F,B,20,0,0,325.13,5,Alimentos,PIX,55+
M,B,4,4,1,363.19,1,Roupas,Cartao_Credito,26-35
F,B,12,1,0,529.89,5,Roupas,Cartao_Credito,36-45
F,C,20,2,1,216.95,2,Roupas,Cartao_Debito,55+
F,C,18,2,1,521.3,3,Beleza,Dinheiro,55+
M,C,12,0,0,470.36,4,Esportes,Cartao_Debito,46-50
M,C,4,0,0,137.94,5,Casa,Boleto,18-25
M,B,1,1,1,1183.88,2,Esportes,Boleto,26-35
M,C,5,0,0,969.22,5,Eletronicos,Cartao_Credito,36-45
M,A,1,3,1,249.55,3,Eletronicos,PIX,26-35
F,B,4,2,1,205.73,5,Roupas,Cartao_Debito,46-50
F,A,1,4,0,462.59,1,Beleza,Cartao_Credito,26-35
M,A,16,4,1,171.48,2,Alimentos,Cartao_Credito,55+
M,C,12,1,1,914.68,4,Alimentos,Dinheiro,55+
M,C,10,4,0,304.58,4,Roupas,Boleto,36-45
M,B,17,0,1,1067.51,5,Esportes,Cartao_Credito,55+
F,A,8,2,0,246.01,2,Beleza,Cartao_Debito,36-45
M,B,8,3,1,377.16,4,Alimentos,Cartao_Debito,36-45
M,B,4,2,0,862.92,4,Roupas,Cartao_Credito,36-45
F,C,9,3,1,332.31,5,Alimentos,Cartao_Credito,51-55
M,C,3,4,1,474.97,1,Casa,Dinheiro,46-50
M,B,12,2,0,777.12,1,Eletronicos,Boleto,36-45
F,A,20,1,0,288.98,3,Alimentos,Cartao_Debito,55+
F,A,11,2,0,189.23,1,Alimentos,Dinheiro,46-50
F,A,6,4,0,168.14,1,Beleza,PIX,26-35
F,B,14,4,0,572.53,3,Roupas,Cartao_Debito,36-45
M,A,17,4,1,509.42,2,Casa,PIX,55+
F,A,9,1,0,762.8,2,Beleza,Cartao_Credito,36-45
F,A,5,1,1,342.26,2,Beleza,Cartao_Debito,51-55
F,A,14,2,0,170.98,4,Casa,Cartao_Debito,26-35
F,C,3,2,1,98.33,2,Casa,Dinheiro,26-35
F,A,20,3,1,2254.71,4,Roupas,Cartao_Credito,55+
F,C,6,4,1,553.44,1,Casa,Cartao_Credito,36-45
M,A,7,2,0,437.94,1,Esportes,Cartao_Credito,0-17
F,A,15,1,1,476.84,1,Roupas,Cartao_Credito,55+
M,A,0,4,1,170.92,5,Beleza,Cartao_Credito,26-35
F,C,4,2,0,250.4,2,Eletronicos,PIX,18-25
F,A,2,3,0,1148.25,1,Roupas,Cartao_Debito,0-17
F,B,8,0,1,598.85,2,Beleza,Cartao_Debito,55+
F,A,11,2,0,255.15,4,Alimentos,Cartao_Debito,36-45
M,C,3,2,0,193.24,2,Eletronicos,Dinheiro,26-35
F,A,7,0,1,296.07,2,Casa,Dinheiro,36-45
F,B,16,1,1,333.87,1,Roupas,Cartao_Credito,55+
M,C,19,3,1,1379.52,4,Casa,PIX,55+
M,A,0,0,1,360.34,2,Esportes,Cartao_Credito,18-25
M,A,13,0,0,197.6,1,Casa,PIX,46-50
F,C,0,0,0,389.49,4,Casa,Dinheiro,18-25
M,A,10,0,1,472.77,5,Alimentos,Cartao_Credito,51-55
F,A,18,2,1,187.11,4,Beleza,PIX,55+
M,B,16,2,0,513.53,5,Eletronicos,Cartao_Debito,46-50
F,A,4,3,0,833.26,3,Alimentos,Cartao_Credito,18-25
M,C,5,2,0,438.43,3,Eletronicos,Cartao_Credito,36-45
F,B,16,2,0,250.08,2,Roupas,Dinheiro,46-50
M,B,17,4,0,293.73,3,Casa,PIX,46-50
F,A,5,1,1,149.11,5,Beleza,Cartao_Credito,26-35
F,B,0,3,1,372.3,4,Roupas,PIX,46-50
F,B,9,0,1,486.13,1,Beleza,Cartao_Credito,46-50
F,A,13,4,0,235.57,3,Casa,PIX,36-45
M,C,9,1,0,1291.84,2,Esportes,Cartao_Debito,36-45
M,B,19,1,1,648.96,3,Casa,Cartao_Credito,55+
M,C,17,0,1,137.6,3,Casa,PIX,55+
M,A,16,2,1,139.3,3,Esportes,Cartao_Credito,55+
F,A,0,1,0,223.54,5,Casa,PIX,0-17
F,C,17,4,0,1036.82,5,Alimentos,PIX,51-55
F,C,15,0,1,688.53,5,Beleza,Cartao_Credito,55+
F,B,8,2,1,1068.73,4,Alimentos,Cartao_Credito,46-50
F,A,12,4,1,405.91,2,Beleza,Dinheiro,55+
F,C,17,4,0,355.78,1,Roupas,Cartao_Debito,51-55
M,A,19,3,0,190.85,5,Alimentos,Cartao_Debito,51-55
M,B,11,2,0,497.61,5,Brinquedos,PIX,26-35
F,B,0,4,0,358.63,1,Beleza,Cartao_Credito,0-17
F,A,12,1,0,350.44,2,Alimentos,Boleto,51-55
M,A,14,4,1,1065.11,4,Esportes,Cartao_Credito,51-55
M,A,1,2,0,373.98,1,Esportes,PIX,26-35
F,C,17,1,1,896.58,1,Roupas,Cartao_Credito,51-55
M,B,4,1,0,155.58,5,Eletronicos,Cartao_Debito,36-45
M,B,18,2,1,2024.07,1,Eletronicos,Cartao_Credito,55+
F,C,11,0,0,322.48,2,Roupas,Boleto,26-35
F,B,6,3,0,616.66,5,Beleza,Cartao_Credito,18-25
M,B,1,1,1,678.42,1,Casa,Cartao_Credito,36-45
F,B,0,1,1,299.34,4,Roupas,Boleto,18-25
M,B,15,0,0,659.46,3,Esportes,Cartao_Credito,46-50
F,B,7,2,1,680.35,3,Beleza,Cartao_Credito,51-55
M,C,17,1,0,262.99,5,Alimentos,Cartao_Debito,55+
F,C,4,0,1,264.86,1,Casa,Dinheiro,46-50
M,B,19,4,1,414.55,1,Casa,Cartao_Credito,55+
M,B,19,3,1,376.42,1,Alimentos,Cartao_Credito,55+
F,C,2,1,0,930.65,3,Roupas,Boleto,18-25
M,A,13,0,0,614.99,5,Eletronicos,Cartao_Credito,46-50
M,C,19,4,1,386.74,1,Esportes,PIX,55+
M,A,6,3,0,580.36,3,Alimentos,Cartao_Credito,26-35
F,C,1,2,1,118.16,3,Roupas,PIX,26-35
F,C,18,3,0,278.89,1,Alimentos,PIX,55+
F,B,9,0,0,479.48,2,Casa,Cartao_Debito,36-45
M,A,0,2,0,787.78,2,Roupas,Cartao_Credito,18-25
M,C,17,0,0,454.8,1,Casa,Dinheiro,51-55
M,B,14,3,0,967.72,3,Eletronicos,Cartao_Credito,46-50
F,B,1,4,0,679.1,5,Alimentos,Cartao_Credito,0-17
F,B,5,2,0,300.97,3,Casa,PIX,36-45
F,B,0,3,0,370.92,4,Eletronicos,PIX,0-17
F,B,20,3,1,515.46,4,Beleza,PIX,55+
M,A,0,4,1,308.22,5,Esportes,Dinheiro,26-35
F,B,16,0,1,1011.08,5,Alimentos,Boleto,55+
M,C,10,1,1,207.42,5,Esportes,Dinheiro,51-55
M,A,12,1,0,487.68,5,Alimentos,Boleto,26-35
M,B,17,3,1,627.2,5,Casa,Cartao_Debito,51-55
M,B,18,2,1,334.26,5,Alimentos,Cartao_Credito,55+
M,C,2,3,0,291.99,4,Casa,Dinheiro,0-17
M,B,0,2,1,385.43,3,Alimentos,Cartao_Credito,26-35
M,C,2,4,1,656.68,2,Esportes,Cartao_Credito,26-35
F,A,14,3,1,298.89,3,Casa,Cartao_Debito,51-55
M,B,11,0,0,212.44,5,Casa,PIX,55+
M,C,1,4,1,804.6,4,Eletronicos,PIX,36-45
F,C,4,4,1,512.64,3,Beleza,PIX,46-50
F,B,11,0,1,738.57,1,Eletronicos,Cartao_Credito,46-50
M,B,15,1,1,636.25,2,Esportes,Boleto,55+
M,B,7,4,1,1492.09,3,Eletronicos,Cartao_Debito,46-50
F,A,19,4,0,787.59,2,Beleza,Cartao_Credito,55+
M,C,20,2,1,261.27,3,Casa,PIX,46-50
M,C,16,2,0,534.94,2,Casa,Cartao_Credito,46-50
F,B,9,0,0,288.73,1,Roupas,Dinheiro,36-45
M,A,18,2,0,307.21,3,Eletronicos,Cartao_Credito,55+
F,B,15,3,1,172.86,3,Roupas,Boleto,51-55
F,A,10,1,1,339.79,4,Roupas,Cartao_Credito,46-50
F,C,9,1,1,559.49,1,Alimentos,Dinheiro,51-55
M,B,17,4,0,387.76,3,Alimentos,Cartao_Credito,55+
M,A,11,2,1,208.59,5,Casa,PIX,55+
M,B,3,1,1,161.77,2,Esportes,PIX,46-50
M,C,20,1,1,1432.4,2,Esportes,Cartao_Credito,55+
F,A,1,2,1,490.34,1,Brinquedos,Boleto,36-45
M,B,14,1,0,246.06,3,Alimentos,Dinheiro,46-50
F,B,13,2,0,532.23,5,Casa,Cartao_Credito,36-45
F,A,12,4,1,1500.44,3,Beleza,Cartao_Debito,55+
F,B,1,3,1,585.39,3,Brinquedos,Cartao_Credito,26-35
M,B,10,1,0,75.77,4,Esportes,Boleto,36-45
M,A,18,2,0,1981.04,3,Brinquedos,Cartao_Credito,51-55
F,A,5,2,1,133.01,2,Alimentos,Cartao_Credito,46-50
F,C,14,3,0,356.52,4,Beleza,Cartao_Debito,51-55
F,B,18,3,0,204.38,2,Casa,Cartao_Debito,51-55
F,B,19,2,1,258.79,5,Roupas,Boleto,55+
F,B,10,1,0,478.5,2,Brinquedos,Cartao_Debito,36-45
M,C,6,3,0,116.44,3,Esportes,PIX,18-25
F,C,14,0,1,382.17,2,Roupas,Dinheiro,51-55
M,C,10,3,1,803.04,4,Eletronicos,Cartao_Credito,51-55
F,B,13,4,0,243.24,3,Beleza,Cartao_Debito,36-45
F,B,15,3,1,175.18,2,Casa,PIX,55+
M,B,14,2,0,371.08,4,Esportes,Cartao_Credito,51-55
M,B,5,4,0,329.31,5,Eletronicos,Dinheiro,26-35
M,B,15,2,0,282.27,1,Roupas,PIX,55+
F,A,11,2,1,197.75,3,Beleza,Cartao_Credito,55+
M,B,19,4,0,550.88,4,Esportes,Cartao_Credito,51-55
M,B,13,0,0,576.61,4,Alimentos,Cartao_Credito,36-45
M,A,18,3,1,212.86,2,Eletronicos,PIX,51-55
M,A,20,3,1,231.28,1,Casa,PIX,55+
M,C,20,2,1,437.86,3,Casa,Dinheiro,55+
M,B,15,0,1,226.11,4,Esportes,PIX,55+
M,C,12,3,0,449.08,2,Alimentos,Dinheiro,46-50
M,B,2,1,1,973.43,2,Esportes,Cartao_Credito,36-45
M,C,8,4,0,389.21,3,Esportes,Boleto,26-35
M,C,9,3,1,194.77,3,Alimentos,PIX,46-50
M,A,16,1,1,510.43,3,Eletronicos,PIX,51-55
F,C,12,2,0,362.64,4,Beleza,PIX,46-50
M,A,9,0,0,368.67,5,Eletronicos,Cartao_Credito,36-45
M,B,3,2,1,536.57,4,Esportes,Cartao_Credito,36-45
M,C,15,0,1,610.71,1,Alimentos,Boleto,55+
M,B,9,4,0,412.11,2,Casa,Dinheiro,36-45
M,B,0,3,0,389.0,1,Brinquedos,PIX,0-17
M,B,5,1,1,1391.48,5,Casa,Cartao_Credito,36-45
F,A,18,4,1,829.09,4,Alimentos,Cartao_Credito,51-55
M,A,2,0,0,665.23,2,Brinquedos,Cartao_Credito,0-17
M,A,8,2,1,436.47,5,Casa,Cartao_Debito,46-50
M,A,10,0,0,220.64,3,Alimentos,Cartao_Debito,46-50
M,B,1,0,0,793.48,1,Brinquedos,PIX,0-17
M,B,3,1,0,439.91,1,Esportes,PIX,0-17
F,B,19,1,1,285.34,5,Beleza,PIX,51-55
F,B,12,3,0,348.67,2,Alimentos,PIX,36-45
M,A,4,4,0,225.94,3,Esportes,Cartao_Debito,18-25
M,A,3,3,0,760.82,5,Alimentos,Cartao_Credito,0-17
M,C,8,3,0,607.79,2,Eletronicos,Cartao_Credito,26-35
M,C,15,2,0,449.88,1,Eletronicos,Cartao_Debito,55+
F,B,15,1,1,393.2,1,Beleza,Cartao_Credito,51-55
M,A,4,1,1,268.16,5,Casa,PIX,26-35
M,C,15,4,0,112.39,3,Esportes,Dinheiro,46-50
F,C,18,2,1,172.82,2,Casa,PIX,51-55
M,B,4,2,1,258.38,1,Eletronicos,Boleto,36-45
M,A,0,0,0,236.09,4,Brinquedos,Dinheiro,0-17
F,A,20,2,0,479.92,1,Alimentos,Cartao_Credito,55+
M,B,10,3,1,656.48,1,Alimentos,Cartao_Credito,55+
M,C,16,2,0,373.51,3,Esportes,Boleto,51-55
M,B,6,3,0,939.5,4,Esportes,Cartao_Credito,18-25
F,B,6,4,0,252.21,3,Roupas,PIX,26-35
M,B,4,0,1,371.92,5,Esportes,Boleto,36-45
M,C,4,4,1,391.27,2,Casa,Dinheiro,46-50
M,B,9,4,0,776.9,3,Esportes,PIX,18-25
M,C,2,2,0,429.89,2,Eletronicos,Boleto,18-25
F,B,17,3,1,437.09,2,Alimentos,Cartao_Credito,51-55
M,B,10,0,1,149.47,1,Casa,PIX,51-55
F,B,19,1,0,235.11,4,Roupas,Dinheiro,51-55
F,B,10,0,0,778.66,4,Alimentos,Cartao_Credito,36-45
F,C,6,3,0,116.14,4,Roupas,Cartao_Debito,26-35
M,B,10,4,0,903.07,1,Esportes,Cartao_Credito,36-45
F,B,3,3,1,544.46,1,Alimentos,Cartao_Debito,26-35
F,B,17,3,1,257.62,4,Roupas,PIX,46-50
M,B,15,0,1,244.88,4,Casa,Dinheiro,55+
F,B,3,4,1,1258.37,1,Beleza,Cartao_Credito,36-45
F,C,12,0,1,940.91,4,Alimentos,PIX,55+
M,B,11,2,1,375.53,5,Alimentos,Cartao_Credito,51-55
F,B,4,3,0,437.36,4,Eletronicos,Boleto,18-25
M,B,2,4,0,273.77,2,Roupas,PIX,18-25
F,A,15,4,1,437.41,2,Alimentos,PIX,46-50
F,B,5,2,0,269.25,4,Beleza,PIX,26-35
M,B,10,2,1,384.86,3,Alimentos,Cartao_Credito,51-55
F,B,5,2,0,1195.35,4,Beleza,Cartao_Credito,0-17
M,C,13,2,0,380.94,5,Alimentos,Dinheiro,46-50
F,C,1,3,0,215.12,3,Beleza,PIX,0-17
F,C,7,3,0,177.71,3,Beleza,Dinheiro,18-25
M,B,11,2,0,435.4,3,Casa,Cartao_Credito,46-50
M,B,9,2,0,255.56,3,Esportes,PIX,46-50
M,C,12,0,0,467.76,1,Roupas,Cartao_Debito,36-45
M,B,3,0,0,152.67,5,Eletronicos,Cartao_Credito,18-25
M,B,9,2,1,610.42,3,Eletronicos,Cartao_Debito,26-35
M,B,15,1,0,213.56,2,Eletronicos,PIX,51-55
M,C,7,3,1,414.79,3,Casa,PIX,46-50
M,A,3,4,0,329.32,2,Eletronicos,Cartao_Debito,26-35
F,B,17,3,1,1131.2,5,Roupas,Cartao_Credito,55+
F,A,16,4,1,447.15,4,Roupas,Cartao_Debito,51-55
F,B,14,2,1,1296.32,2,Roupas,Cartao_Debito,55+
M,B,16,4,1,564.79,4,Casa,Cartao_Credito,46-50
F,B,16,4,0,948.84,1,Beleza,Cartao_Credito,46-50
F,B,15,0,1,355.93,5,Alimentos,Cartao_Credito,55+
M,C,10,3,0,496.36,3,Eletronicos,Cartao_Credito,36-45
M,C,0,2,1,838.14,4,Alimentos,Cartao_Credito,0-17
F,B,12,4,0,694.35,4,Casa,Cartao_Debito,46-50
M,C,5,2,0,554.79,2,Eletronicos,Cartao_Credito,18-25
M,B,16,0,1,331.37,4,Casa,Dinheiro,55+
F,C,9,1,1,366.77,2,Casa,Dinheiro,55+
M,A,19,0,1,798.39,4,Alimentos,Cartao_Credito,55+
M,A,12,1,1,904.65,1,Esportes,Cartao_Credito,51-55
F,B,11,0,1,282.67,1,Casa,Cartao_Credito,51-55
F,A,19,3,1,258.2,5,Roupas,Cartao_Credito,51-55
M,B,9,2,1,234.52,4,Eletronicos,Boleto,51-55
F,A,7,3,0,663.69,1,Beleza,Cartao_Credito,36-45
F,B,7,4,1,230.98,2,Beleza,Cartao_Credito,51-55
M,A,18,3,1,658.89,3,Esportes,Cartao_Debito,55+
F,A,15,2,1,559.71,1,Beleza,PIX,55+
M,C,3,1,1,290.89,3,Beleza,PIX,36-45
M,B,10,3,1,1031.03,2,Eletronicos,Cartao_Debito,46-50
F,C,7,2,1,167.78,1,Beleza,Dinheiro,55+
M,B,13,3,0,1091.95,2,Eletronicos,Cartao_Debito,46-50
F,A,1,0,1,488.5,2,Beleza,Cartao_Credito,26-35
F,B,14,0,1,116.27,1,Casa,Dinheiro,55+
M,B,15,0,1,1048.51,4,Eletronicos,Cartao_Credito,55+
F,A,4,3,1,722.94,2,Roupas,Cartao_Credito,46-50
M,C,3,2,1,312.02,1,Casa,Cartao_Credito,36-45
F,B,13,1,0,226.14,1,Alimentos,PIX,51-55
M,C,5,1,1,157.36,5,Eletronicos,Cartao_Debito,36-45
F,B,19,3,1,1718.6,1,Roupas,Cartao_Credito,55+
F,B,16,4,1,231.82,5,Casa,PIX,55+
M,A,20,4,1,189.02,1,Esportes,Boleto,51-55
F,C,11,2,1,473.78,1,Beleza,Cartao_Credito,46-50
F,B,19,3,1,151.0,3,Alimentos,PIX,55+
F,A,0,0,0,223.87,5,Roupas,Dinheiro,18-25
F,A,6,4,1,732.88,1,Casa,Cartao_Credito,51-55
F,B,0,0,1,533.0,2,Roupas,Cartao_Debito,18-25
M,C,14,1,1,319.95,4,Eletronicos,PIX,51-55
M,C,10,3,0,407.88,1,Eletronicos,Dinheiro,46-50
M,C,6,4,1,309.36,1,Esportes,PIX,26-35
F,C,6,0,0,388.7,2,Casa,PIX,26-35
M,C,13,3,0,255.42,5,Eletronicos,Dinheiro,46-50
M,B,3,0,0,284.82,5,Alimentos,Cartao_Credito,26-35
M,B,10,0,1,279.67,4,Casa,Cartao_Debito,51-55
F,A,12,2,0,260.99,4,Casa,Cartao_Debito,36-45
M,A,5,2,0,754.72,1,Esportes,Cartao_Credito,26-35
F,B,4,1,0,640.39,2,Brinquedos,Cartao_Credito,0-17
M,A,7,4,1,230.58,5,Esportes,PIX,46-50
F,C,12,3,0,197.03,4,Beleza,Dinheiro,46-50
M,C,5,2,1,367.1,2,Casa,Cartao_Credito,46-50
M,B,7,2,0,1470.23,4,Esportes,Dinheiro,26-35
F,C,11,2,1,217.76,4,Beleza,Dinheiro,51-55
F,B,3,0,1,366.23,4,Roupas,Cartao_Credito,18-25
M,A,11,3,0,425.49,5,Esportes,Cartao_Credito,51-55
M,B,2,3,1,377.97,3,Esportes,Cartao_Debito,26-35
F,A,2,2,0,306.46,1,Beleza,Dinheiro,18-25
F,B,4,2,1,806.78,5,Roupas,Cartao_Credito,36-45
M,A,6,4,1,529.89,1,Casa,Cartao_Credito,55+
M,A,0,3,0,670.14,4,Esportes,PIX,18-25
F,A,20,1,0,574.57,4,Beleza,Cartao_Credito,51-55
F,C,6,0,0,689.78,1,Eletronicos,Cartao_Credito,26-35
